Source,Target,Type,sign,weight,relation
Hospitals,Departments,Directed,+,1.0,Hospitals contain departments
Hospitals,Admissions,Directed,+,1.0,Hospitals receive admissions
Hospitals,Transfers,Directed,+,0.5,Hospitals participate in transfer networks
Departments,Ward,Directed,+,1.0,Ward is a department type
Departments,ICU,Directed,+,1.0,ICU is a department type
Ward,AbxUse,Directed,+,0.4,Ward patients still receive antibiotics
ICU,AbxUse,Directed,+,0.9,ICU care uses antibiotics more frequently
ICU,Isolation,Directed,+,0.5,ICU patients are more likely to be isolated
Patients,Admissions,Directed,+,1.0,Patients are admitted into hospitals
Admissions,Patients,Directed,+,1.0,Admissions increase the inpatient population
DiagnosticSpeed,DetectProb,Directed,+,0.7,Faster diagnostics improve detection probability
DetectProb,Isolation,Directed,+,0.8,Detection enables isolation action
DetectProb,AbxUse,Directed,+,0.4,Detected infection can trigger treatment
Isolation,TransProb,Directed,-,0.9,Isolation reduces onward spread
Hygiene,TransProb,Directed,-,0.9,Hygiene reduces direct transmission
AbxUse,AbxClassMix,Directed,+,0.9,Prescribing determines class exposure
AbxUse,DoseLevel,Directed,+,0.7,Prescribing determines dose intensity
AbxUse,TreatmentPhase,Directed,+,0.8,Active prescriptions move patients onto therapy
AbxUse,SelPressure,Directed,+,1.0,Antibiotics create selection pressure
AbxClassMix,ABXKilling,Directed,+,0.8,Drug class determines mechanism-specific killing
DoseLevel,ABXKilling,Directed,+,0.8,Higher dose increases antibiotic kill pressure
ColonPressure,Isolation,Directed,+,0.4,High colonization pressure triggers stricter isolation
ColonPressure,TransProb,Directed,+,0.7,Higher pressure increases exposure risk
TransProb,ColonPressure,Directed,+,0.8,Successful transmission raises pressure further
Age,Vulnerability,Directed,+,0.6,Age increases vulnerability in the host model
Age,ImmuneStrength,Directed,-,0.4,Age can lower immune strength
Vulnerability,TransProb,Directed,+,0.7,More vulnerable patients are easier to colonize
ImmuneStrength,TransProb,Directed,-,0.6,Stronger immunity lowers susceptibility
ImmuneStrength,ImmuneClearance,Directed,+,0.9,Immune strength improves clearance pressure
ImmuneStrength,ClearanceProb,Directed,+,0.7,Stronger immunity increases clearance probability
ImmuneStatus,ImmuneClearance,Directed,-,0.8,Immune suppression weakens clearance
ImmuneStatus,ClearanceProb,Directed,-,0.6,Immune suppression reduces clearance
Compliance,Adherence,Directed,+,0.9,Compliance supports therapy adherence
Compliance,Isolation,Directed,+,0.4,Compliant patients follow isolation rules better
Compliance,Hygiene,Directed,+,0.3,Compliant behaviour supports hygiene measures
Adherence,ABXKilling,Directed,+,0.8,Higher adherence increases effective antibiotic exposure
Sociability,TransProb,Directed,+,0.8,Patient sociability multiplies carrier force in transmission
HistoryFlags,PriorABX,Directed,+,0.7,Medical history captures prior antibiotic exposure
HistoryFlags,PriorInfection,Directed,+,0.6,History flags capture prior infection events
HistoryFlags,Vulnerability,Directed,+,0.7,Comorbidities increase vulnerability
HistoryFlags,ImmuneStatus,Directed,+,0.6,History can include immunosuppression
PriorABX,ResFrac,Directed,+,0.5,Past antibiotic exposure enriches resistant strains
PriorInfection,TransProb,Directed,-,0.4,Recovered patients may be less susceptible to recolonization
TreatmentPhase,SelPressure,Directed,+,0.6,Active or recent treatment shapes selection
