Source,Target,Type,weight,relation
H01,H08,Directed,15.0,patient_transfer
H03,H02,Directed,24.0,patient_transfer
H03,H04,Directed,25.0,patient_transfer
H03,H05,Directed,18.0,patient_transfer
H03,H06,Directed,5.0,patient_transfer
H04,H03,Directed,15.0,patient_transfer
H04,H05,Directed,29.0,patient_transfer
H04,H06,Directed,21.0,patient_transfer
H04,H08,Directed,18.0,patient_transfer
H04,H09,Directed,25.0,patient_transfer
H05,H07,Directed,8.0,patient_transfer
H06,H02,Directed,16.0,patient_transfer
H06,H05,Directed,12.0,patient_transfer
H07,H03,Directed,24.0,patient_transfer
H07,H08,Directed,12.0,patient_transfer
H07,H09,Directed,29.0,patient_transfer
H08,H04,Directed,25.0,patient_transfer
H08,H09,Directed,25.0,patient_transfer
H08,H10,Directed,22.0,patient_transfer
H09,H02,Directed,27.0,patient_transfer
H09,H10,Directed,29.0,patient_transfer
H10,H05,Directed,26.0,patient_transfer
H10,H07,Directed,27.0,patient_transfer
